"filename", "language", "JavaScript", "HTML", "SQL", "comment", "blank", "total"
"c:\University\FOURTH YEAR\ECV\Selecta\server\database\database.js", "JavaScript", 309, 0, 0, 77, 71, 457
"c:\University\FOURTH YEAR\ECV\Selecta\server\database\init.sql", "SQL", 0, 0, 42, 5, 13, 60
"c:\University\FOURTH YEAR\ECV\Selecta\server\main\main.js", "JavaScript", 71, 0, 0, 37, 38, 146
"c:\University\FOURTH YEAR\ECV\Selecta\server\main\server.js", "JavaScript", 498, 0, 0, 161, 156, 815
"c:\University\FOURTH YEAR\ECV\Selecta\server\model\model.js", "JavaScript", 434, 0, 0, 60, 103, 597
"c:\University\FOURTH YEAR\ECV\Selecta\server\passport\serializer.js", "JavaScript", 11, 0, 0, 8, 7, 26
"c:\University\FOURTH YEAR\ECV\Selecta\server\passport\strategies.js", "JavaScript", 69, 0, 0, 20, 18, 107
"c:\University\FOURTH YEAR\ECV\Selecta\server\passport\verifications.js", "JavaScript", 183, 0, 0, 37, 38, 258
"c:\University\FOURTH YEAR\ECV\Selecta\server\routes\app.js", "JavaScript", 23, 0, 0, 4, 8, 35
"c:\University\FOURTH YEAR\ECV\Selecta\server\routes\authenticate.js", "JavaScript", 64, 0, 0, 11, 17, 92
"c:\University\FOURTH YEAR\ECV\Selecta\server\routes\error.js", "JavaScript", 24, 0, 0, 11, 12, 47
"c:\University\FOURTH YEAR\ECV\Selecta\server\routes\proxy\youtube.js", "JavaScript", 21, 0, 0, 9, 8, 38
"c:\University\FOURTH YEAR\ECV\Selecta\server\routes\utils.js", "JavaScript", 84, 0, 0, 5, 18, 107
"c:\University\FOURTH YEAR\ECV\Selecta\server\testing\tests.js", "JavaScript", 32, 0, 0, 7, 11, 50
"c:\University\FOURTH YEAR\ECV\Selecta\server\testing\tests.sql", "SQL", 0, 0, 69, 13, 50, 132
"c:\University\FOURTH YEAR\ECV\Selecta\server\utils\crypto.js", "JavaScript", 34, 0, 0, 2, 7, 43
"c:\University\FOURTH YEAR\ECV\Selecta\server\utils\globals.js", "JavaScript", 24, 0, 0, 8, 8, 40
"c:\University\FOURTH YEAR\ECV\Selecta\server\utils\locker.js", "JavaScript", 53, 0, 0, 11, 15, 79
"c:\University\FOURTH YEAR\ECV\Selecta\server\utils\update.js", "JavaScript", 28, 0, 0, 12, 11, 51
"c:\University\FOURTH YEAR\ECV\Selecta\server\utils\youtube.js", "JavaScript", 290, 0, 0, 60, 61, 411
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\error.ejs", "HTML", 0, 23, 0, 2, 6, 31
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\login.ejs", "HTML", 0, 32, 0, 4, 15, 51
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\partials\footer.ejs", "HTML", 0, 46, 0, 4, 14, 64
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\partials\header.ejs", "HTML", 0, 34, 0, 6, 19, 59
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\partials\interfaces\loading.ejs", "HTML", 0, 9, 0, 0, 0, 9
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\partials\interfaces\logout.ejs", "HTML", 0, 5, 0, 0, 1, 6
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\partials\interfaces\menu.ejs", "HTML", 0, 24, 0, 10, 11, 45
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\partials\interfaces\player.ejs", "HTML", 0, 30, 0, 0, 0, 30
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\partials\interfaces\search.ejs", "HTML", 0, 20, 0, 4, 8, 32
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\partials\interfaces\settings.ejs", "HTML", 0, 58, 0, 5, 7, 70
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\partials\interfaces\vote.ejs", "HTML", 0, 20, 0, 4, 6, 30
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\partials\oauth.ejs", "HTML", 0, 18, 0, 7, 9, 34
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\partials\templates.ejs", "HTML", 0, 69, 0, 1, 10, 80
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\selecta.ejs", "HTML", 0, 23, 0, 13, 24, 60
"c:\University\FOURTH YEAR\ECV\Selecta\server\views\signup.ejs", "HTML", 0, 38, 0, 4, 17, 59
"Total", "-", 2252, 449, 111, 622, 817, 4251
